matricula,modelo,color,precio_dia,marca,garaje
1338ABC,Ford Focus,White,60,Ford,8
1339ABC,Hyundai i40,Aquamarine,60,Hyundai,8
1340ABC,Kia Soul,Carmine,60,Kia,8
1341ABC,Ford Fiesta,Lavender,60,Ford,8
1342ABC,Citroen Nemo,Apricot,60,Citroen,8
1343ABC,Hyundai Santa Fe,Salmon,60,Hyundai,9
1344ABC,Audi Q7,Pink,120,Audi,10
1345ABC,Fiat Cronos,Sepia,120,Fiat,11
1346ABC,Audi R8,Salmon,120,Audi,12
1347ABC,Mazda 3,Rust,80,Mazda,13
1348ABC,Audi Q3,Ruby,75,Audi,14
1349ABC,Audi R8,Sienna,55,Audi,16
1350ABC,BMW M5,White,120,BMW,18
1351ABC,Ford Focus,Purple,150,Ford,19
1352ABC,Hyundai i20,Magenta,150,Hyundai,20
1353ABC,Hyundai i35,Magenta,150,Hyundai,20
1354ABC,Citroen Jumper,Ultramarine,180,Citroen,20
1355ABC,Citroen Nemo,Mauve,50,Citroen,20
1356ABC,Audi R8,Sky blue,50,Audi,20
1357ABC,Mazda CX5,Aquamarine,50,Mazda,20
1358ABC,BMW M6,Blue,225,BMW,20
1359ABC,BMW M5,Gold,50,BMW,20
1360ABC,Opel Insignia,Silver,50,Opel,20
1361ABC,Citroen C4 Cactus,Ultramarine,50,Citroen,20
